Filename,Extension,Category,File Size,Duration,Creation Date,Original Path,SHA256,Is Duplicate,Duplicate Of,Lines,Chars,Width,Height,DPI,Mode,Bitrate,Sample Rate
img 22.py,.py,Code,6.96 KB,,05-10-26,/Users/steven/scripts/clean/img/img 22.py,,False,,228,7126,,,,,,
img 73.py,.py,Code,6.92 KB,,05-10-26,/Users/steven/scripts/clean/img/img 73.py,,False,,221,7089,,,,,,
img 80.py,.py,Code,6.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 80.py,,False,,177,6438,,,,,,
img 47.py,.py,Code,1.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 47.py,,False,,50,1322,,,,,,
img 36.py,.py,Code,1.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 36.py,,False,,50,1322,,,,,,
img 94.py,.py,Code,5.00 KB,,05-10-26,/Users/steven/scripts/clean/img/img 94.py,,False,,147,5118,,,,,,
img 16.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 16.py,,False,,222,7120,,,,,,
img 67.py,.py,Code,22.57 KB,,05-10-26,/Users/steven/scripts/clean/img/img 67.py,,False,,685,23116,,,,,,
img 43.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 43.py,,False,,222,7120,,,,,,
img 77.py,.py,Code,6.63 KB,,05-10-26,/Users/steven/scripts/clean/img/img 77.py,,False,,225,6786,,,,,,
img 53.py,.py,Code,6.98 KB,,05-10-26,/Users/steven/scripts/clean/img/img 53.py,,False,,223,7147,,,,,,
img 12.py,.py,Code,22.72 KB,,05-10-26,/Users/steven/scripts/clean/img/img 12.py,,False,,686,23263,,,,,,
img 84.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 84.py,,False,,222,7120,,,,,,
img 26.py,.py,Code,6.96 KB,,05-10-26,/Users/steven/scripts/clean/img/img 26.py,,False,,229,7127,,,,,,
img 6.py,.py,Code,8.22 KB,,05-10-26,/Users/steven/scripts/clean/img/img 6.py,,False,,283,8420,,,,,,
img.py,.py,Code,6.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img.py,,False,,177,6438,,,,,,
img 31.py,.py,Code,6.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 31.py,,False,,177,6438,,,,,,
img 54.py,.py,Code,21.42 KB,,05-10-26,/Users/steven/scripts/clean/img/img 54.py,,False,,646,21938,,,,,,
img 93.py,.py,Code,6.95 KB,,05-10-26,/Users/steven/scripts/clean/img/img 93.py,,False,,222,7120,,,,,,
img 60.py,.py,Code,1.29 KB,,05-10-26,/Users/steven/scripts/clean/img/img 60.py,,False,,50,1322,,,,,,
